SNOMED Concept ID	DISPLAY	2019-2020	2020-2021
187862007	Malignant neoplasm of upper lobe of lung (disorder)	0.676489891	0.628769927
91857003	"Acute lymphoid leukemia, disease (disorder)"	0.560617567	0.613799214
363429002	Malignant tumor of larynx (disorder)	0.586177638	0.588848027
363352004	Malignant tumor of anal canal (disorder)	0.546985529	0.578867552
254878006	Endometrial carcinoma (disorder)	0.531649486	0.573877314
255107005	Seminoma of testis (disorder)	0.584473633	0.562233427
94248000	Secondary malignant neoplasm of cerebrum (disorder)	0.891194491	0.558906602
55921005	"Multiple myeloma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"	1.030922881	0.530628589
363412000	Malignant tumor of ascending colon (disorder)	0.403849129	0.518984702
21964009	"Malignant lymphoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"	1.029218876	0.512331052
255109008	Transitional cell carcinoma of bladder (disorder)	0.5009774	0.467418914
94392001	Secondary malignant neoplasm of lymph node (disorder)	0.509497424	0.467418914
419052002	Malignant tumor of urinary system (disorder)	0.731018043	0.465755501
109841003	Liver cell carcinoma (disorder)	0.800882238	0.380921464
363350007	Malignant tumor of cecum (disorder)	0.688417924	0.307731313
115232000	Mesothelial neoplasm (morphologic abnormality)	0.511201429	0.286106951
