SNOMED_Concept_ID	Description	Type_imaging	2019-2020	2020-2021
2690005	Magnetic resonance imaging of pelvis (procedure)	MRI	2.235654248	2.388660357
390984007	Referral for quantitative ultrasound scan (procedure)	Ultrasound	2.083997824	2.38367012
185494005	In-house ultrasound (procedure)	Ultrasound	2.024357658	2.362045757
169071000	Computed tomography of pelvis (procedure)	CT scan	1.782388981	2.348738457
168594001	Plain X-ray of clavicle (procedure)	X-ray	2.083997824	2.185724032
47293000	Radiographic procedure on lower extremity and pelvis (procedure)	Other/not specified	1.908485334	2.099226581
74170002	Radiography of upper limb (procedure)	Other/not specified	1.853957181	2.014392544
169063004	Computed tomography scan requested (situation)	CT scan	1.443292034	1.991104769
241075002	Plain X-ray of femur (procedure)	X-ray	1.874405238	1.969480406
303919006	Ultrasound scan of musculoskeletal system (procedure)	Ultrasound	1.4671481	1.937875568
168687005	Plain X-ray foot normal (finding)	X-ray	1.855661186	1.886309781
1083511000000102	Lumbar spine dual energy X-ray photon absorptiometry scan Z score (observable entity)	Bone density scan	1.697188743	1.814783043
363680008	Radiographic imaging procedure (procedure)	Other/not specified	1.511452224	1.813119631
417726009	Magnetic resonance imaging of lumbar spine abnormal (finding)	MRI	1.915301353	1.804802568
169064005	Computed tomography scan normal (finding)	CT scan	1.806245048	1.794822093
303927002	Plain film of body region	Other/not specified	1.821581091	1.716641705
310253005	Bone densimetry normal (finding)	Bone density scan	1.928933391	1.703334405
306143000	Referral to computerized tomography service (procedure)	CT scan	1.504636205	1.665075918
169081001	Magnetic resonance imaging requested (situation)	MRI	0.991730772	1.643451555
271311001	Carpal bones X-ray (procedure)	X-ray	1.620508529	1.585232117
391067006	Hip dual energy X-ray photon absorptiometry scan Z score (observable entity)	Bone density scan	1.39898791	1.536993155
168668004	Plain X-ray knee abnormal (finding)	X-ray	1.697188743	1.532002917
168603006	Plain X-ray pelvis normal (finding)	X-ray	1.565980376	1.52035903
391076004	Lumbar dual X-ray absorptiometry scan result osteopenic (finding)	Bone density scan	1.6460686	1.48709078
168679009	Plain X-ray ankle joint normal (finding)	X-ray	1.416027957	1.463803004
241071006	Plain X-ray of scaphoid (procedure)	X-ray	1.385355872	1.450495704
129679001	Computed tomography result abnormal (finding)	CT scan	1.533604286	1.413900629
391071009	Hip dual energy X-ray photon absorptiometry scan result osteopenic (finding)	Bone density scan	1.531900281	1.403920154
241091004	X-ray pelvimetry (procedure)	X-ray	0.316944886	1.402256742
440103000	Femoral neck dual energy X-ray photon absorptiometry scan Z score (observable entity)	Bone density scan	1.177467291	1.390612854
391075000	Lumbar dual energy X-ray photon absorptiometry scan result osteoporotic (finding)	Bone density scan	1.499524191	1.367325079
865351000000108	Computed tomography report received (finding)	CT scan	2.479326929	1.362334842
303678006	Computed tomography of regions (procedure)	CT scan	1.097379067	1.360671429
37815002	Diagnostic radiography of calcaneus (procedure)	Other/not specified	1.32741971	1.304115404
168639000	Plain X-ray hand normal (finding)	X-ray	1.214955395	1.285817866
609185006	Magnetic resonance imaging report received (finding)	MRI	1.143387195	1.284154454
241447007	"Ultrasound scan, non-obstetric diagnostic (procedure)"	Ultrasound	1.0019548	1.279164216
169068008	Computed tomography of neck (procedure)	CT scan	1.059890962	1.270847154
168630001	Plain X-ray of wrist normal (finding)	X-ray	1.170651272	1.267520329
168496002	Radiographic imaging procedure carried out (situation)	Other/not specified	1.114419114	1.240905729
427072002	Ultrasound scan of foot (procedure)	Ultrasound	1.187691319	1.234252079
5433008	Skeletal X-ray of lower limb (procedure)	X-ray	1.196211343	1.224271604
713023004	Plain x-ray of upper limb (procedure)	X-ray	0.998546791	1.122803441
241647000	Magnetic resonance imaging of thoracic spine (procedure)	MRI	1.116123119	1.112822966
168637003	Plain X-ray radius (procedure)	X-ray	0.96957871	1.111159553
241643001	Magnetic resonance imaging of ankle (procedure)	MRI	1.003658805	1.074564478
241578008	Computed tomography of cervical spine (procedure)	CT scan	1.061594967	1.074564478
303922008	Ultrasound of shoulder region (procedure)	Ultrasound	1.046258924	1.041296228
391031004	Bone density scan due (finding)	Bone density scan	1.078635014	1.034642578
308032002	Seen by radiology service (finding)	Other/not specified	0.621961738	1.001374328
440099005	Femoral neck dual energy X-ray photon absorptiometry scan result osteopenic (finding)	Bone density scan	1.134867172	0.959789015
427253008	Ultrasound scan of lower leg (procedure)	Ultrasound	0.915050557	0.951471953
168661005	Plain X-ray hip joint normal (finding)	X-ray	0.923570581	0.92319394
241504009	Ultrasonography of knee (procedure)	Ultrasound	0.9303866	0.914876878
391074001	Lumbar dual energy X-ray photon absorptiometry scan result normal (finding)	Bone density scan	0.961058686	0.838359903
449922004	Ultrasonography of lower limb (procedure)	Ultrasound	0.778730176	0.825052603
241446003	Ultrasound vascular - Doppler effect (procedure)	Ultrasound	1.015586838	0.825052603
391069009	Hip dual energy X-ray photon absorptiometry scan result normal (finding)	Bone density scan	0.857114395	0.821725777
168615005	Plain X-ray shoulder joint normal (finding)	X-ray	0.833258329	0.813408715
310254004	Bone densimetry abnormal (finding)	Bone density scan	0.903122524	0.813408715
241076001	Tibia and/or fibula X-ray (procedure)	X-ray	0.748058091	0.806755065
168623007	X-ray shaft of radius/ulna (procedure)	X-ray	0.855410391	0.798438002
303924009	Ultrasound scan of hand (procedure)	Ultrasound	0.867338424	0.733564915
305881000	Seen by ultrasonography service (finding)	Ultrasound	0.509497424	0.728574677
168579000	Plain X-ray lumbar spine normal (finding)	X-ray	0.746354086	0.72358444
168580002	Plain X-ray lumbar spine abnormal (finding)	X-ray	0.742946076	0.71027714
168541005	Plain X-ray result normal (finding)	X-ray	0.748058091	0.68366254
168621009	Plain X-ray elbow normal (finding)	X-ray	0.650929819	0.668691827
168575006	Plain X-ray cervical spine normal (finding)	X-ray	0.678193895	0.658711352
72221006	Magnetic resonance imaging of neck (procedure)	MRI	0.538465505	0.648730877
440035002	Dual energy X-ray photon absorptiometry scan T score (observable entity)	Bone density scan	0.972986719	0.643740639
168604000	Plain X-ray pelvis abnormal (finding)	X-ray	0.758282119	0.642077227
168688000	Plain X-ray foot abnormal (finding)	X-ray	0.667969867	0.630433339
241077005	Tibia X-ray (procedure)	X-ray	0.618553729	0.630433339
391070005	Hip dual X-ray absorptiometry scan result osteoporotic (finding)	Bone density scan	0.720794014	0.625443102
241073009	Metacarpal X-ray (procedure)	X-ray	0.633889772	0.618789452
241639000	Magnetic resonance imaging of hip (procedure)	MRI	0.598105672	0.612135802
241082003	Hallux X-ray (procedure)	X-ray	0.621961738	0.607145564
417525006	Magnetic resonance imaging of cervical spine abnormal (finding)	MRI	0.674785886	0.607145564
429529009	Dual energy X-ray absorptiometry of hip (procedure)	Bone density scan	0.550393538	0.595501677
22059005	"Computerized tomography, bone density study (procedure)"	CT scan	0.604921691	0.588848027
305701006	Seen by radiologist (finding)	Other/not specified	0.448153252	0.582194377
713021002	Plain radiography of pelvis (procedure)	Other/not specified	0.497569391	0.558906602
241499009	Ultrasonography of wrist (procedure)	Ultrasound	0.584473633	0.548926127
6238009	Diagnostic radiography of sacroiliac joints (procedure)	Other/not specified	0.6798979	0.543935889
168631002	Plain X-ray of wrist abnormal (finding)	X-ray	0.509497424	0.540609064
168576007	Plain X-ray cervical spine abnormal (finding)	X-ray	0.560617567	0.512331052
305785000	Seen by diagnostic radiographer (finding)	Other/not specified	0.557209557	0.507340814
241093001	Thoracolumbar spine X-ray (procedure)	X-ray	0.475417329	0.504013989
241644007	Magnetic resonance imaging of foot (procedure)	MRI	0.506089414	0.495696927
440100002	Femoral neck dual energy X-ray photon absorptiometry scan result osteoporotic (finding)	Bone density scan	0.712273991	0.494033514
303938002	Plain film of neck	X-ray	0.674785886	0.445794551
440083004	Dual energy X-ray photon absorptiometry scan of femoral neck result normal (finding)	Bone density scan	0.620257733	0.434150664
